OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
7.0,2001.0,2001.0,963.0,361.0,963.0,829.0,1792.0,2.0,1.0,7.0,1.0,2.0,564.0,0.0,96.0,217778.25110088987
5.0,1939.0,1997.0,720.0,378.0,1052.0,720.0,2192.0,2.0,1.0,8.0,1.0,1.0,240.0,262.0,24.0,169773.38817336294
5.0,1967.0,1967.0,882.0,450.0,900.0,0.0,900.0,1.0,0.0,5.0,0.0,1.0,280.0,0.0,0.0,103097.98619691632
4.0,1970.0,1970.0,630.0,131.0,630.0,0.0,630.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44262.878762780456
5.0,1959.0,1959.0,1188.0,1000.0,1188.0,0.0,1188.0,1.0,0.0,6.0,0.0,2.0,531.0,0.0,0.0,140578.96157856216
8.0,2007.0,2007.0,1582.0,1288.0,1610.0,551.0,2161.0,1.0,1.0,8.0,1.0,3.0,789.0,178.0,120.0,301615.0266238379
8.0,2003.0,2004.0,1181.0,0.0,1234.0,1140.0,2374.0,2.0,1.0,10.0,1.0,3.0,656.0,104.0,100.0,282981.9015516627
7.0,2005.0,2005.0,600.0,0.0,520.0,600.0,1200.0,2.0,1.0,4.0,0.0,2.0,480.0,0.0,166.0,169579.74036249937
7.0,2004.0,2005.0,847.0,0.0,847.0,1101.0,1948.0,2.0,1.0,8.0,1.0,2.0,434.0,100.0,48.0,221726.9594105163
7.0,1989.0,1989.0,1518.0,1518.0,1644.0,0.0,1644.0,2.0,0.0,5.0,1.0,2.0,569.0,80.0,0.0,231556.15960352682
5.0,1971.0,1971.0,1484.0,998.0,1484.0,0.0,1484.0,2.0,0.0,7.0,1.0,2.0,487.0,224.0,0.0,183487.85866671032
1.0,1922.0,1950.0,683.0,350.0,904.0,0.0,904.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-11047.045512691373
7.0,2007.0,2007.0,1373.0,0.0,1555.0,0.0,1555.0,2.0,0.0,7.0,1.0,3.0,660.0,143.0,20.0,237909.8287512567
9.0,1981.0,1987.0,1842.0,1810.0,1842.0,0.0,1842.0,0.0,1.0,5.0,1.0,3.0,894.0,857.0,72.0,328881.13957551075
7.0,2002.0,2002.0,1654.0,986.0,1654.0,0.0,1654.0,2.0,0.0,6.0,0.0,3.0,900.0,0.0,136.0,240874.80124738533
5.0,1930.0,1950.0,912.0,324.0,912.0,336.0,1248.0,1.0,0.0,6.0,0.0,1.0,160.0,0.0,0.0,102043.8662054746
5.0,1966.0,1966.0,894.0,180.0,894.0,0.0,894.0,1.0,0.0,5.0,0.0,1.0,384.0,0.0,0.0,99053.57995686354
5.0,1961.0,1961.0,1235.0,600.0,1235.0,0.0,1235.0,1.0,0.0,6.0,0.0,2.0,480.0,0.0,0.0,137157.1202226933
7.0,1979.0,1979.0,1332.0,1258.0,1332.0,192.0,1524.0,0.0,1.0,4.0,1.0,2.0,586.0,268.0,0.0,215983.26226023142
6.0,1980.0,1980.0,923.0,543.0,923.0,0.0,923.0,2.0,0.0,5.0,1.0,1.0,264.0,80.0,0.0,145864.71433397126
5.0,1978.0,1978.0,1040.0,616.0,1040.0,0.0,1040.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,103076.46005975897
4.0,1885.0,1950.0,777.0,0.0,1246.0,1044.0,2290.0,2.0,0.0,11.0,0.0,2.0,560.0,0.0,0.0,136412.58470178442
8.0,1995.0,1996.0,1595.0,1180.0,1616.0,0.0,1616.0,2.0,0.0,5.0,1.0,2.0,608.0,237.0,152.0,257591.2059665064
10.0,2006.0,2007.0,1700.0,1172.0,1718.0,0.0,1718.0,2.0,0.0,7.0,1.0,3.0,786.0,216.0,48.0,327197.16511703306
6.0,1928.0,1950.0,784.0,0.0,784.0,0.0,784.0,1.0,0.0,5.0,0.0,2.0,360.0,0.0,0.0,113860.39460394997
6.0,1964.0,1993.0,822.0,536.0,1020.0,831.0,1851.0,2.0,1.0,7.0,1.0,2.0,440.0,239.0,42.0,201122.3161369427
6.0,1920.0,1999.0,611.0,0.0,751.0,611.0,1362.0,2.0,0.0,6.0,0.0,2.0,502.0,0.0,0.0,146969.32955497666
7.0,2000.0,2001.0,1349.0,0.0,1349.0,0.0,1349.0,2.0,0.0,6.0,0.0,2.0,539.0,120.0,55.0,198499.9294013253
9.0,2008.0,2009.0,1926.0,0.0,1966.0,1174.0,3140.0,3.0,1.0,11.0,2.0,3.0,820.0,144.0,78.0,356179.4433458252
5.0,1971.0,1971.0,765.0,471.0,765.0,600.0,1365.0,1.0,1.0,6.0,0.0,2.0,440.0,240.0,36.0,144180.53445051447
5.0,1898.0,1965.0,849.0,0.0,1075.0,1063.0,2138.0,2.0,0.0,11.0,0.0,2.0,360.0,40.0,156.0,160763.04198934464
6.0,1972.0,1972.0,672.0,317.0,672.0,546.0,1218.0,1.0,1.0,7.0,0.0,1.0,264.0,0.0,28.0,135529.03387790825
5.0,1972.0,1972.0,864.0,390.0,864.0,0.0,864.0,1.0,0.0,5.0,0.0,1.0,352.0,0.0,0.0,103607.15779315913
4.0,1941.0,1950.0,672.0,348.0,672.0,252.0,924.0,1.0,0.0,5.0,0.0,1.0,280.0,0.0,0.0,68624.20340510434
5.0,1954.0,1990.0,1297.0,1213.0,1297.0,0.0,1297.0,1.0,0.0,5.0,1.0,2.0,498.0,0.0,0.0,163569.41445562034
9.0,2003.0,2004.0,1896.0,1274.0,1944.0,0.0,1944.0,2.0,0.0,8.0,3.0,3.0,708.0,208.0,175.0,342320.21282665455
6.0,1948.0,2002.0,972.0,680.0,972.0,0.0,972.0,1.0,0.0,5.0,1.0,1.0,240.0,0.0,0.0,147543.4159967783
4.0,1923.0,1958.0,440.0,0.0,869.0,0.0,869.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,41486.71246878966
7.0,1990.0,1990.0,1475.0,1085.0,1532.0,797.0,2329.0,2.0,1.0,10.0,1.0,2.0,514.0,192.0,121.0,267457.6126764582
4.0,1910.0,2000.0,560.0,0.0,796.0,550.0,1346.0,1.0,1.0,6.0,0.0,1.0,384.0,168.0,24.0,97978.05184163805
5.0,1949.0,2008.0,768.0,292.0,1148.0,568.0,1716.0,1.0,1.0,8.0,1.0,1.0,281.0,0.0,0.0,155282.02558779716
6.0,1956.0,1956.0,1196.0,616.0,1196.0,0.0,1196.0,1.0,0.0,6.0,1.0,1.0,297.0,0.0,44.0,147810.2992962671
5.0,1941.0,1950.0,720.0,116.0,803.0,0.0,803.0,1.0,0.0,5.0,0.0,2.0,360.0,0.0,0.0,98142.11803999543
5.0,1949.0,2003.0,845.0,220.0,893.0,0.0,893.0,1.0,0.0,4.0,0.0,2.0,576.0,0.0,0.0,119982.3003653728
6.0,2000.0,2000.0,924.0,0.0,948.0,742.0,1690.0,2.0,1.0,7.0,1.0,2.0,463.0,100.0,48.0,191859.30816291017
